!! n100w100.002    77.76 873


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    1      40.00      41.00        .00        .00     817.00        .00
    2      22.00      43.00        .00        .00      53.00        .00
    3        .00      40.00        .00     551.00     656.00        .00
    4      17.00      46.00        .00     529.00     583.00        .00
    5      46.00      31.00        .00     579.00     727.00        .00
    6      44.00      26.00        .00     492.00     551.00        .00
    7      38.00      19.00        .00      92.00     236.00        .00
    8      40.00      13.00        .00     113.00     246.00        .00
    9      27.00        .00        .00     738.00     771.00        .00
   10       4.00      21.00        .00     292.00     444.00        .00
   11      32.00      21.00        .00      30.00     151.00        .00
   12      22.00      34.00        .00        .00      81.00        .00
   13       4.00      16.00        .00     278.00     324.00        .00
   14      24.00      39.00        .00        .00      63.00        .00
   15      15.00      27.00        .00     263.00     355.00        .00
   16      43.00       1.00        .00     383.00     527.00        .00
   17      20.00       6.00        .00      50.00     176.00        .00
   18      33.00      27.00        .00      42.00      76.00        .00
   19      47.00      14.00        .00     429.00     532.00        .00
   20       6.00      11.00        .00     317.00     413.00        .00
   21       7.00      16.00        .00     290.00     409.00        .00
   22      50.00      40.00        .00     198.00     272.00        .00
   23      29.00      24.00        .00     396.00     512.00        .00
   24      39.00      27.00        .00     156.00     257.00        .00
   25       6.00      47.00        .00     569.00     608.00        .00
   26      47.00      35.00        .00     183.00     274.00        .00
   27      19.00       5.00        .00      97.00     133.00        .00
   28      31.00       6.00        .00      72.00     141.00        .00
   29      22.00       2.00        .00      51.00     152.00        .00
   30      21.00      29.00        .00     252.00     352.00        .00
   31      39.00      25.00        .00        .00     144.00        .00
   32      23.00      39.00        .00        .00     110.00        .00
   33      31.00       9.00        .00      86.00     144.00        .00
   34      43.00      36.00        .00     188.00     276.00        .00
   35      20.00      44.00        .00     505.00     597.00        .00
   36      36.00      24.00        .00      57.00      86.00        .00
   37      23.00       4.00        .00      72.00     149.00        .00
   38      15.00       9.00        .00      52.00     166.00        .00
   39      49.00      19.00        .00     471.00     565.00        .00
   40      43.00      43.00        .00        .00      28.00        .00
   41      45.00      42.00        .00     152.00     262.00        .00
   42      14.00      13.00        .00     325.00     427.00        .00
   43       7.00      13.00        .00     362.00     447.00        .00
   44      37.00      16.00        .00     103.00     218.00        .00
   45      35.00      23.00        .00       6.00     107.00        .00
   46      30.00       8.00        .00      83.00     158.00        .00
   47      47.00      37.00        .00     117.00     240.00        .00
   48      42.00      24.00        .00     122.00     257.00        .00
   49      46.00      32.00        .00     146.00     252.00        .00
   50      50.00       6.00        .00     382.00     524.00        .00
   51      24.00      46.00        .00      10.00      67.00        .00
   52      15.00      44.00        .00     492.00     615.00        .00
   53      26.00       5.00        .00      64.00     124.00        .00
   54      32.00      46.00        .00        .00      95.00        .00
   55       5.00      19.00        .00     229.00     330.00        .00
   56        .00      14.00        .00     238.00     339.00        .00
   57      24.00      13.00        .00     547.00     658.00        .00
   58      27.00      34.00        .00      13.00     102.00        .00
   59      41.00      45.00        .00        .00      69.00        .00
   60      13.00       2.00        .00     269.00     356.00        .00
   61       4.00       9.00        .00     286.00     376.00        .00
   62      43.00       5.00        .00     433.00     490.00        .00
   63      16.00      36.00        .00     229.00     295.00        .00
   64      33.00      11.00        .00      68.00     241.00        .00
   65       1.00      46.00        .00     529.00     583.00        .00
   66       2.00       7.00        .00     270.00     388.00        .00
   67      50.00       3.00        .00     390.00     537.00        .00
   68      28.00      35.00        .00     200.00     335.00        .00
   69       9.00      22.00        .00     271.00     307.00        .00
   70      41.00      46.00        .00        .00      64.00        .00
   71      42.00       5.00        .00     625.00     715.00        .00
   72      30.00      48.00        .00     207.00     308.00        .00
   73      31.00      29.00        .00        .00     121.00        .00
   74       8.00       4.00        .00     252.00     410.00        .00
   75       6.00      17.00        .00     278.00     333.00        .00
   76       4.00       5.00        .00     291.00     410.00        .00
   77       6.00      34.00        .00     668.00     783.00        .00
   78      49.00      29.00        .00     453.00     518.00        .00
   79       6.00      12.00        .00     324.00     382.00        .00
   80       3.00      11.00        .00     280.00     438.00        .00
   81      40.00      19.00        .00     421.00     512.00        .00
   82      45.00      35.00        .00     136.00     283.00        .00
   83      25.00      14.00        .00      42.00     159.00        .00
   84      29.00      14.00        .00     136.00     242.00        .00
   85      28.00      49.00        .00       5.00      58.00        .00
   86      32.00      31.00        .00     491.00     601.00        .00
   87      37.00      26.00        .00        .00      87.00        .00
   88      27.00       9.00        .00      35.00     163.00        .00
   89      18.00       1.00        .00     109.00     191.00        .00
   90      26.00      12.00        .00      27.00     168.00        .00
   91      22.00      13.00        .00     352.00     475.00        .00
   92      27.00      19.00        .00      38.00     116.00        .00
   93      23.00      13.00        .00     328.00     476.00        .00
   94      37.00      17.00        .00     158.00     242.00        .00
   95      14.00      21.00        .00     317.00     413.00        .00
   96      34.00      40.00        .00     196.00     318.00        .00
   97      19.00       7.00        .00      91.00     179.00        .00
   98      22.00      17.00        .00     386.00     470.00        .00
   99      11.00      48.00        .00     499.00     624.00        .00
  100       1.00       4.00        .00     293.00     332.00        .00
  101      46.00      24.00        .00     582.00     748.00        .00
  999        .00        .00        .00        .00        .00        .00
